distinct_id,"Document le plus recommandé","Document 2","Document 3","Document 4","Document 5","Score de la meilleur reco","Score 2","Score 3","Score 4","Score 5"
21783ec2-649d-4381-9213-3a04d33c97c6,2d67c10f-956e-4453-bea5-d58c8b2aed15,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,15.8,15.3,12.6,9.9
27170d49-c441-4a0b-84ff-8f0543675130,74c55886-abd3-4871-a9ed-fd739c0885d5,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,31817c5a-d893-4fe5-8527-6d9f05d50536,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,61.1,59.9,56,50.9
2757a707-dc36-41ba-b9d5-62d332d47fb9,74c55886-abd3-4871-a9ed-fd739c0885d5,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,5011267c-10fd-4e62-a83d-3f53653527a5,cc351040-a05d-490f-bb42-d5bb15b42a59,100,61.8,52.9,51.3,50.4
292b6a94-ce26-4122-aab9-5895e7b21f7f,74c55886-abd3-4871-a9ed-fd739c0885d5,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,5011267c-10fd-4e62-a83d-3f53653527a5,cc351040-a05d-490f-bb42-d5bb15b42a59,100,51,47.5,44.5,41.2
293ad39f-6e5c-407d-be09-de33059b9884,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,31817c5a-d893-4fe5-8527-6d9f05d50536,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,97.1,87.4,73.2,67.5
29b288f7-cf74-4190-a3d6-5e310ef78584,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,40.8,39.9,32.5,24.9
29d6b9b9-a102-4005-ab76-5c4d87e2fff4,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,31817c5a-d893-4fe5-8527-6d9f05d50536,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,97.4,86.3,71.1,65.8
2e223e7d-e10a-4441-810e-e90b49ed9e97,74c55886-abd3-4871-a9ed-fd739c0885d5,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,d7528f22-ec63-4981-a09c-20475887e2c4,00fd97c0-f6f0-49d6-8658-e909717a497f,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,100,92.6,87.6,79.9,79.6
332e3a9e-5f96-415c-8416-2b0b2c251937,74c55886-abd3-4871-a9ed-fd739c0885d5,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,57.3,51.4,44.7,43.5
355540d7-242a-4cc3-9b21-a711916342e5,74c55886-abd3-4871-a9ed-fd739c0885d5,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,45.2,38.2,30.7,29.7
36d1140d-6b13-4603-b70c-4492989dfb57,74c55886-abd3-4871-a9ed-fd739c0885d5,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,31817c5a-d893-4fe5-8527-6d9f05d50536,d7528f22-ec63-4981-a09c-20475887e2c4,00fd97c0-f6f0-49d6-8658-e909717a497f,100,58.2,57.2,53,35.7
391d6319-c90d-42c5-a0bf-9cbed73d2a31,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,32.3,13.4,12.6,10.1
3ad34889-0823-4bac-a11b-398415745a23,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,32.7,13.2,12.7,10.2
